"Monster","CR","Monster_STR","STR_Mod","Monster_DEX","DEX_Mod","Monster_CON","CON_Mod","Monster_INT","INT_Mod","Monster_WIS","WIS_Mod","Monster_CHA","CHA_Mod","Stats.1","Stats.2","Stats_3","Stats_4","Stats_5","Stats_6","Stats_7"
"Archdruid",12,10,0,14,2,12,1,12,1,20,5,11,0,"Saving Throws Int +5, Wis +9","Skills Medicine +9, Nature +5, Perception +9","Languages Druidic plus any two languages",NA,NA,"While in a new form, the archdruid retains its game statistics and ability to speak, but its AC, movement modes, Strength, and Dexterity are replaced by those of the new form, and it gains any special senses, proficiencies, traits, actions, and reactions (except class features, legendary actions, and lair actions) that the new form has but that it lacks. It can cast its spells with verbal or somatic components in its new form.","The new form's attacks count as magical for the purpose of overcoming resistances and immunity to nonmagical attacks."
"Archer",3,11,0,18,4,16,3,11,0,13,1,10,0,"Skills Acrobatics +6, Perception +5","Languages any one language (usually Common)",NA,NA,NA,NA,NA
"Archmage",12,10,0,14,2,12,1,20,5,15,2,16,3,"Saving Throws Int +9, Wis +6","Skills Arcana +13, History +13","Damage Resistances damage from spells; non magical bludgeoning, piercing, and slashing (from stoneskin)","Languages any six languages",NA,NA,NA
"Assassin",8,11,0,16,3,14,2,13,1,11,0,10,0,"Saving Throws Dex +6, Int +4","Skills Acrobatics +6, Deception +3, Perception +3, Stealth +9","Damage Resistances poison","Languages Thieves' cant plus any two languages",NA,NA,NA
"Augrek Brighthelm",0,14,2,11,0,15,2,10,0,11,0,11,0,"Skills Athletics +4, Perception +2","Damage Resistances poison","Senses darkvision 60 ft.","Languages Common, Dwarvish",NA,NA,NA
"Aurochs",2,20,5,10,0,19,4,2,-4,12,1,5,-3,NA,NA,NA,NA,NA,NA,NA
"Avatar of Death",0,16,3,16,3,16,3,16,3,16,3,16,3,"Damage Immunities necrotic, poison","Condition Immunities charmed, frightened, paralyzed, petrified, poisoned , unconscious","Senses darkvision 60 ft., truesight 60 ft.","Languages all languages known to its summoner",NA,NA,NA
"Awakened Shrub",0,3,-4,8,-1,11,0,10,0,10,0,6,-2,"Damage Vulnerabilities fire","Damage Resistances piercing","Languages one language known by its creator",NA,NA,NA,NA
"Awakened Tree",2,19,4,6,-2,15,2,10,0,10,0,7,-2,"Damage Vulnerabilities fire","Damage Resistances bludgeoning, piercing","Languages one language known by its creator",NA,NA,NA,NA
"Awakened Zurkhwood",2,19,4,6,-2,15,2,10,0,10,0,7,-2,"Damage Vulnerabilities fire","Damage Resistances bludgeoning, piercing","Senses darkvision 120 ft.","Languages one language known by its creator",NA,NA,NA
"Axe Beak",0.25,14,2,12,1,12,1,2,-4,10,0,5,-3,NA,NA,NA,NA,NA,NA,NA
"Azbara Jos",4,9,-1,16,3,14,2,16,3,13,1,11,0,"Saving Throws Int +5, Wis +3","Skills Arcana +5, Deception +2, Insight +3, Stealth +5","Languages Common, Draconic, Infernal, Primordial, Thayan",NA,NA,NA,NA
"Azer",2,17,3,12,1,15,2,12,1,13,1,10,0,"Saving Throws Con +4","Damage Immunities fire, poison","Condition Immunities poisoned","Languages Ignan",NA,NA,NA
"Baba Lysaga",11,18,4,10,0,16,3,20,5,17,3,13,1,"Saving Throws Wis +7","Skills Arcana +13, Religion +13","Languages Abyssal, Common, Draconic, Dwarvish, Giant",NA,NA,NA,NA
"Babau",4,19,4,16,3,16,3,11,0,12,1,13,1,"Skills Perception +5, Stealth +5","Damage Resistances cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks","Damage Immunities poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Abyssal",NA
"Baboon",0,8,-1,14,2,11,0,4,-3,12,1,6,-2,NA,NA,NA,NA,NA,NA,NA
"Badger",0,4,-3,11,0,12,1,2,-4,12,1,5,-3,"Senses darkvision 30 ft.",NA,NA,NA,NA,NA,NA
"Balor",19,26,8,15,2,22,6,20,5,16,3,22,6,"Saving Throws Str +14, Con +12, Wis +9, Cha +12","Damage Resistances cold, lightning, bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities fire, poison","Condition Immunities poisoned","Senses truesight 120 ft.","Languages Abyssal, telepathy 120 ft.",NA
"Banderhobb",5,20,5,12,1,20,5,11,0,14,2,8,-1,"Skills Athletics +8, Stealth +7","Condition Immunities charmed, frightened","Senses darkvision 120 ft.","Languages understands Common and the languages of its creator, but can't speak",NA,NA,"The banderhobb can have only one target swallowed at a time. While the banderhobb isn't incapacitated, it can regurgitate the creature at any time (no action required) in a space within 5 feet of it. The creature exits prone. If the banderhobb dies, it likewise regurgitates a swallowed creature."
"Bandit",0.125,11,0,12,1,12,1,10,0,10,0,10,0,"Languages any one language (usually Common)",NA,NA,NA,NA,NA,NA
"Bandit Captain",2,15,2,16,3,14,2,14,2,11,0,14,2,"Saving Throws Str +4, Dex +5, Wis +2","Skills Athletics +4, Deception +4","Languages any two languages",NA,NA,"Reactions",NA
"Banshee",4,1,-5,14,2,10,0,12,1,11,0,17,3,"Saving Throws Wis +2, Cha +5","Damage Resistances acid, fire, lightning, thunder, bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities cold, necrotic, poison","Condition Immunities charmed, exhaustion, frightened, grappled, paralyzed, petrified, poisoned, prone, restrained","Senses darkvision 60 ft.","Languages Common, Elvish",NA
"Baphomet",23,30,10,14,2,26,8,18,4,24,7,16,3,"Saving Throws Dex +9, Con +15, Wis +14","Skills Intimidation +17, Perception +14","Damage Resistances cold, fire, lightning","Damage Immunities poison; bludgeoning, piercing, and slashing that is nonmagical","Condition Immunities charmed, exhaustion, frightened, poisoned","Senses truesight 120 ft.","Languages all, telepathy 120 ft."
"Barbed Devil",5,16,3,17,3,18,4,12,1,14,2,14,2,"Saving Throws Str +6, Con +7, Wis +5, Cha +5","Skills Deception +5, Insight +5, Perception +8","Damage Resistances cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Infernal, telepathy 120 ft."
"Bard",2,11,0,14,2,12,1,10,0,13,1,14,2,"Saving Throws Dex +4, Wis +3","Skills Acrobatics +4, Perception +5, Performance +6","Languages any two languages",NA,NA,NA,NA
"Barghest",4,19,4,15,2,14,2,13,1,12,1,14,2,"Skills Deception +4, Intimidation +4, Perception +5, Stealth +4","Damage Resistances cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical weapons","Damage Immunities acid, poison","Condition Immunities poisoned","Senses blindsight 60 ft., darkvision 60 ft.","Languages Abyssal, Common, Goblin, Infernal, telepathy 60 ft.",NA
"Barlgura",5,18,4,15,2,16,3,7,-2,14,2,9,-1,"Saving Throws Dex +5, Con +6","Skills Perception +5, Stealth +5","Damage Resistances cold, fire, lightning","Damage Immunities poison","Condition Immunities poisoned","Senses blindsight 30 ft., darkvision 120 ft.","Languages Abyssal, telepathy 120 ft."
"Barovian Witch",0.5,7,-2,11,0,13,1,14,2,11,0,12,1,"Skills Arcana +4, Perception +2","Senses darkvision 60 ft.","Languages Common",NA,NA,NA,NA
"Basilisk",3,16,3,8,-1,15,2,2,-4,8,-1,7,-2,"Senses darkvision 60 ft.",NA,NA,NA,NA,NA,NA
"Bastian Thermandar",8,12,1,14,2,15,2,11,0,9,-1,18,4,"Skills Arcana +3, Deception +7","Damage Resistances fire","Senses darkvision 60 ft.","Languages Common, Ignan",NA,NA,NA
"Bat",0,2,-4,15,2,8,-1,2,-4,12,1,4,-3,"Senses blindsight 60 ft.",NA,NA,NA,NA,NA,NA
"Bearded Devil",3,16,3,15,2,15,2,9,-1,11,0,11,0,"Saving Throws Str +5, Con +4, Wis +2","Damage Resistances cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Infernal, telepathy 120 ft.",NA
"Behir",11,23,6,16,3,18,4,7,-2,14,2,12,1,"Skills Perception +6, Stealth +7","Damage Immunities lightning","Senses darkvision 90 ft.","Languages Draconic",NA,NA,NA
"Beholder",13,10,0,14,2,18,4,17,3,15,2,17,3,"Saving Throws Int +8, Wis +7, Cha +8","Skills Perception +12","Condition Immunities prone","Senses darkvision 120 ft.","Languages Deep Speech, Undercommon",NA,NA
"Beholder Zombie",5,10,0,8,-1,16,3,3,-4,8,-1,5,-3,"Saving Throws Wis +2","Damage Immunities poison","Condition Immunities poisoned, prone","Senses darkvision 60 ft.","Languages understands Deep Speech and Undercommon but can't speak",NA,NA
"Beldora",0,10,0,14,2,10,0,16,3,12,1,16,3,"Skills Deception +5, Insight +3, Investigation +5, Perception +5, Persuasion +5","Languages Common, Draconic, Dwarvish, Halfling",NA,NA,"Reactions",NA,NA
"Berserker",2,16,3,12,1,17,3,9,-1,11,0,9,-1,"Languages any one language (usually Common)",NA,NA,NA,NA,NA,NA
"Bheur Hag",7,13,1,16,3,14,2,12,1,13,1,16,3,"Saving Throws Wis +4","Skills Nature +4, Perception +4, Stealth +6, Survival +4","Damage Immunities cold","Senses darkvision 60 ft.","Languages Auran, Common, Giant",NA,"A coven consists of three hags so that any arguments between two hags can be settled by the third. If more than three hags ever come together, as might happen if two covens come into conflict, the result is usually chaos."
"Black Bear",0.5,15,2,10,0,14,2,2,-4,12,1,7,-2,NA,NA,NA,NA,NA,NA,NA
"Black Dragon Wyrmling",2,15,2,14,2,13,1,10,0,11,0,13,1,"Saving Throws Dex +4, Con +3, Wis +2, Cha +3","Skills Perception +4, Stealth +4","Damage Immunities acid","Senses blindsight 10 ft., darkvision 60 ft.","Languages Draconic",NA,NA
"Black Earth Guard",2,17,3,11,0,14,2,10,0,10,0,9,-1,"Skills Intimidation +1, Perception +2","Languages Common",NA,NA,"Reactions",NA,NA
"Black Earth Priest",3,15,2,11,0,14,2,12,1,10,0,16,3,"Skills Intimidation +5, Religion +3, Persuasion +5","Languages Common, Terran",NA,NA,"Reactions",NA,NA
"Black Guard Drake",2,16,3,11,0,16,3,4,-3,10,0,7,-2,"Skills Perception +2","Damage Resistances acid","Senses darkvision 60 ft.","Languages understands Draconic but can't speak it",NA,NA,NA
"Black Pudding",4,16,3,5,-3,16,3,1,-5,6,-2,1,-5,"Damage Immunities acid, cold, lightning, slashing","Condition Immunities blinded, charmed, deafened, exhaustion, frightened, prone","Senses blindsight 60 ft. (blind beyond this radius)",NA,NA,"Reactions",NA
"Blackguard",8,18,4,11,0,18,4,11,0,14,2,15,2,"Saving Throws Wis +5, Cha +5","Skills Athletics +7, Deception +5, Intimidation +5","Languages any one language (usually Common)",NA,NA,NA,NA
"Blagothkus",9,26,8,13,1,20,5,16,3,15,2,15,2,"Saving Throws Con +9, Wis +6, Cha +6","Skills Arcana +7, Insight +6, Intimidation +6, Perception +6","Languages Common, Draconic, Giant",NA,NA,NA,NA
"Blink Dog",0.25,12,1,17,3,12,1,10,0,13,1,11,0,"Skills Perception +3, Stealth +5","Languages Blink Dog, understands Sylvan but can't speak it",NA,NA,NA,NA,NA
"Blood Hawk",0.125,6,-2,14,2,10,0,3,-4,14,2,5,-3,"Skills Perception +4",NA,NA,NA,NA,NA,NA
"Blue Dragon Wyrmling",3,17,3,10,0,15,2,12,1,11,0,15,2,"Saving Throws Dex +2, Con +4, Wis +2, Cha +4","Skills Perception +4, Stealth +2","Damage Immunities lightning","Senses blindsight 10 ft., darkvision 60 ft.","Languages Draconic",NA,NA
"Blue Guard Drake",2,16,3,11,0,16,3,4,-3,10,0,7,-2,"Skills Perception +2","Damage Resistances lightning","Senses darkvision 60 ft.","Languages understands Draconic but can't speak it",NA,NA,NA
"Blue Slaad",7,20,5,15,2,18,4,7,-2,7,-2,9,-1,"Skills Perception +1","Damage Resistances acid, cold, fire, lightning, thunder","Senses darkvision 60 ft.","Languages Slaad, telepathy 60 ft.",NA,NA,NA
"Boar",0.25,13,1,11,0,12,1,2,-4,9,-1,5,-3,NA,NA,NA,NA,NA,NA,NA
"Bodak",6,15,2,16,3,15,2,7,-2,12,1,12,1,"Skills Perception +4, Stealth +6","Damage Resistances cold, fire, necrotic; bludgeoning, piercing, and slashing from nonmagical attacks","Damage Immunities lightning, poison","Condition Immunities charmed, frightened, poisoned","Senses darkvision 120 ft.","Languages Abyssal, the languages it knew in life",NA
"Boggle",0.125,8,-1,18,4,13,1,6,-2,12,1,7,-2,"Skills Perception +3, Sleight of Hand +6, Stealth +6","Damage Resistances fire","Senses darkvision 60 ft.","Languages Sylvan",NA,NA,"If the oil is slippery, any creature that enters the puddle's area or starts its turn there must succeed on a DC 11 Dexterity saving throw or fall prone."
"Bone Devil",12,18,4,16,3,18,4,13,1,14,2,16,3,"Saving Throws Int +5, Wis +6, Cha +7","Skills Deception +7, Insight +6","Damage Resistances cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Infernal, telepathy 120 ft."
"Bone Devil Polearm",12,18,4,16,3,18,4,13,1,14,2,16,3,"Saving Throws Int +5, Wis +6, Cha +7","Skills Deception +7, Insight +6","Damage Resistances cold, bludgeoning, piercing, and slashing from nonmagical weapons that aren't silvered","Damage Immunities fire, poison","Condition Immunities poisoned","Senses darkvision 120 ft.","Languages Infernal, telepathy 120 ft."
"Bone Naga (Guardian)",4,15,2,16,3,12,1,15,2,15,2,16,3,"Damage Immunities poison","Condition Immunities charmed, exhaustion, paralyzed, poisoned","Senses darkvision 60 ft.","Languages Common plus one other language",NA,NA,NA
"Bone Naga (Spirit)",4,15,2,16,3,12,1,15,2,15,2,16,3,"Damage Immunities poison","Condition Immunities charmed, exhaustion, paralyzed, poisoned","Senses darkvision 60 ft.","Languages Common plus one other language",NA,NA,NA
"Brass Dragon Wyrmling",1,15,2,10,0,13,1,10,0,11,0,13,1,"Saving Throws Dex +2, Con +3, Wis +2, Cha +3","Skills Perception +4, Stealth +2","Damage Immunities fire","Senses blindsight 10 ft., darkvision 60 ft.","Languages Draconic",NA,NA
"Bridesmaid of Zuggtmoy",0.125,14,2,11,0,11,0,14,2,8,-1,18,4,"Senses darkvision 60 ft.","Languages understands Abyssal but can't speak",NA,NA,NA,NA,NA
"Brontosaurus",5,21,5,9,-1,17,3,2,-4,10,0,7,-2,"Saving Throws Con +6",NA,NA,NA,NA,NA,NA
"Bronze Dragon Wyrmling",2,17,3,10,0,15,2,12,1,11,0,15,2,"Saving Throws Dex +2, Con +4, Wis +2, Cha +4","Skills Perception +4, Stealth +2","Damage Immunities lightning","Senses blindsight 10 ft., darkvision 60 ft.","Languages Draconic",NA,NA
"Broom of Animated Attack",0.25,10,0,17,3,10,0,1,-5,5,-3,1,-5,"Damage Immunities poison, psychic","Condition Immunities blinded, charmed, deafened, exhaustion, frightened, paralyzed, petrified, poisoned, prone","Senses blindsight 30 ft. (blind beyond this radius)",NA,"The magic that animates an object is dispelled when the construct drops to 0 hit points. An animated object reduced to 0 hit points becomes inanimate and is too damaged to be of much use or value to anyone.",NA,"Reactions"
"Brown Bear",1,19,4,10,0,16,3,2,-4,13,1,7,-2,"Skills Perception +3",NA,NA,NA,NA,NA,NA
"Bugbear",1,15,2,14,2,13,1,8,-1,11,0,9,-1,"Skills Stealth +6, Survival +2","Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,NA,NA
"Bugbear Chief",3,17,3,14,2,14,2,11,0,12,1,11,0,"Skills Intimidation +2, Stealth +6, Survival +3","Senses darkvision 60 ft.","Languages Common, Goblin",NA,NA,NA,NA
"Bulette",5,19,4,11,0,21,5,2,-4,10,0,5,-3,"Skills Perception +6","Senses darkvision 60 ft., tremorsense 60 ft.",NA,NA,NA,NA,NA
"Bullywug",0.25,12,1,12,1,13,1,7,-2,10,0,7,-2,"Skills Stealth +3","Languages Bullywug",NA,NA,NA,NA,NA
"Burrowshark",4,18,4,12,1,16,3,10,0,11,0,13,1,"Skills Animal Handling +2, Athletics +6, Intimidation +3, Perception +2","Languages Common",NA,NA,"Reactions",NA,NA
"Cambion",5,18,4,18,4,16,3,14,2,12,1,16,3,"Saving Throws Str +7, Con +6, Int +5, Cha +6","Skills Deception +6, Intimidation +6, Perception +4, Stealth +7","Damage Resistances cold, fire, lightning, poison, bludgeoning, piercing, and slashing from nonmagical weapons","Senses darkvision 60 ft.","Languages Abyssal, Common, Infernal",NA,NA
"Camel",0.125,16,3,8,-1,14,2,2,-4,8,-1,5,-3,NA,NA,NA,NA,NA,NA,NA
"Captain Othelstan",5,19,4,10,0,16,3,13,1,14,2,12,1,"Saving Throws Str +7, Con +6","Skills Athletics +7, Intimidation +7, Perception +5, Religion +4","Languages Common, Draconic, Giant",NA,NA,NA,NA
